seed_url,url,title
https://www.blacksburg.gov/home,https://library.municode.com/va/blacksburg/codes/code_of_ordinances,"code of ordinances | blacksburg, va | municode library"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/town-council/town-council/voter-registration-and-elections,"voter registration and elections | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/town-council/town-council/strategic-goals,"strategic goals | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/town-council/town-council/biographies,"biographies | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/town-council/town-council-2648,"town council | blacksburg, va"
https://www.blacksburg.gov/home,https://library.municode.com/va/blacksburg/codes/code_of_ordinances,"code of ordinances | blacksburg, va | municode library"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/town-council/town-council-2648,"town council | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/financial-services/online-payments,"make a payment | blacksburg, va"
https://www.blacksburg.gov/home,https://member.everbridge.net/453003085611857/new,
https://www.blacksburg.gov/home,http://www.tobweb.org/ayr/,
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/related-links/facilities-and-parks-directory,"facilities and parks directory  | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/town-council/get-involved/council-appointed-boards-and-committees,"council appointed boards and committees | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/related-links,"related links | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburgrescue.org/,blacksburg volunteer rescue squad
https://www.blacksburg.gov/home,https://blacksburgfire.org/,blacksburg volunteer fire department
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/town-manager,"town manager | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/town-clerk,"town clerk | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/town-attorney,"town attorney | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/technology,"technology | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/sustainability,"sustainability | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/purchasing,"purchasing | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/public-works,"public works | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/planning-and-building,"planning and building | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/parks-and-recreation,"parks and recreation | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/police,"police | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z,"departments l-z | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/human-resources,"human resources | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/housing-and-neighborhood-services,"housing and community connections | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/financial-services,"financial services | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/engineering-and-gis,"engineering and gis | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/community-relations,"community relations | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k,"departments a-k | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/business/resources,"resources | blacksburg, va"
https://www.blacksburg.gov/home,https://www.yesmontgomeryva.org/,economic development home
https://www.blacksburg.gov/home,https://ridebt.org/,blacksburg transit
https://www.blacksburg.gov/home,https://nrvrc.org/,new river valley regional commission | nrvrc
https://www.blacksburg.gov/home,https://www.montgomerycc.org/,home - montgomery county chamber of commerce
https://www.blacksburg.gov/home,https://gotomontva.com/,go to town - montgomery county - va regional tourism office
https://www.blacksburg.gov/home,https://stepintoblacksburg.org/,"step into blacksburg - living and working in blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/business/resources,"resources | blacksburg, va"
https://www.blacksburg.gov/home,https://www.downtownblacksburg.com/,downtown blacksburg
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/homestay,"homestay | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/business/starting-your-own-business/merchant-groups,"merchant groups | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/planning-and-building/zoning,"zoning | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/financial-services/taxes/tax-rates,"tax rates | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/financial-services/business-licenses,"business licenses | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/business/starting-your-own-business/where-to-start,"opening a business in downtown blacksburg | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/business/starting-your-own-business,"starting your own business | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/business/proposing-a-new-development-project/zoning,"zoning | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/planning-and-building,"planning and building | blacksburg, va"
https://www.blacksburg.gov/home,https://library.municode.com/va/blacksburg/codes/code_of_ordinances,"code of ordinances | blacksburg, va | municode library"
